timestamp_utc,forecast_mw
2026-05-01T00:00:00Z,41131.82
2026-05-01T01:00:00Z,43659.06
2026-05-01T02:00:00Z,44862.2
2026-05-01T03:00:00Z,49731.63
2026-05-01T04:00:00Z,52382.98
2026-05-01T05:00:00Z,54930.6
2026-05-01T06:00:00Z,57812.83
2026-05-01T07:00:00Z,60667.58
2026-05-01T08:00:00Z,62231.71
2026-05-01T09:00:00Z,63455.56
2026-05-01T10:00:00Z,64432.04
2026-05-01T11:00:00Z,63899.93
2026-05-01T12:00:00Z,62353.83
2026-05-01T13:00:00Z,60434.0
2026-05-01T14:00:00Z,58096.55
2026-05-01T15:00:00Z,54737.42
2026-05-01T16:00:00Z,51757.75
2026-05-01T17:00:00Z,49223.13
2026-05-01T18:00:00Z,45921.71
2026-05-01T19:00:00Z,42690.06
2026-05-01T20:00:00Z,41321.33
2026-05-01T21:00:00Z,40802.86
2026-05-01T22:00:00Z,39860.63
2026-05-01T23:00:00Z,40319.65
2026-05-02T00:00:00Z,36992.8
2026-05-02T01:00:00Z,39609.48
2026-05-02T02:00:00Z,40572.09
2026-05-02T03:00:00Z,44703.1
2026-05-02T04:00:00Z,46261.99
2026-05-02T05:00:00Z,50210.82
2026-05-02T06:00:00Z,52298.28
2026-05-02T07:00:00Z,56296.16
2026-05-02T08:00:00Z,57892.66
2026-05-02T09:00:00Z,59273.74
2026-05-02T10:00:00Z,58468.68
2026-05-02T11:00:00Z,59001.84
2026-05-02T12:00:00Z,57080.9
2026-05-02T13:00:00Z,55210.85
2026-05-02T14:00:00Z,53303.92
2026-05-02T15:00:00Z,50631.86
2026-05-02T16:00:00Z,47122.65
2026-05-02T17:00:00Z,43517.38
2026-05-02T18:00:00Z,40504.51
2026-05-02T19:00:00Z,39381.31
2026-05-02T20:00:00Z,36964.06
2026-05-02T21:00:00Z,35840.73
2026-05-02T22:00:00Z,36310.09
2026-05-02T23:00:00Z,34919.37
2026-05-03T00:00:00Z,38143.37
2026-05-03T01:00:00Z,40405.26
2026-05-03T02:00:00Z,41971.05
2026-05-03T03:00:00Z,44390.44
2026-05-03T04:00:00Z,46601.71
2026-05-03T05:00:00Z,50702.52
2026-05-03T06:00:00Z,52734.38
2026-05-03T07:00:00Z,55472.29
2026-05-03T08:00:00Z,57218.04
2026-05-03T09:00:00Z,58761.41
2026-05-03T10:00:00Z,59772.85
2026-05-03T11:00:00Z,58257.76
2026-05-03T12:00:00Z,56801.06
2026-05-03T13:00:00Z,54883.51
2026-05-03T14:00:00Z,52419.03
2026-05-03T15:00:00Z,49247.17
2026-05-03T16:00:00Z,46452.24
2026-05-03T17:00:00Z,44670.13
2026-05-03T18:00:00Z,40644.01
2026-05-03T19:00:00Z,38668.98
2026-05-03T20:00:00Z,35877.56
2026-05-03T21:00:00Z,35510.68
2026-05-03T22:00:00Z,33955.53
2026-05-03T23:00:00Z,34989.64
2026-05-04T00:00:00Z,42960.42
2026-05-04T01:00:00Z,43164.94
2026-05-04T02:00:00Z,46671.99
2026-05-04T03:00:00Z,49167.2
2026-05-04T04:00:00Z,51908.21
2026-05-04T05:00:00Z,54714.56
2026-05-04T06:00:00Z,58772.15
2026-05-04T07:00:00Z,60378.85
2026-05-04T08:00:00Z,63308.76
2026-05-04T09:00:00Z,63159.66
2026-05-04T10:00:00Z,64034.4
2026-05-04T11:00:00Z,63870.41
2026-05-04T12:00:00Z,62616.2
2026-05-04T13:00:00Z,59745.0
2026-05-04T14:00:00Z,57601.56
2026-05-04T15:00:00Z,54988.24
2026-05-04T16:00:00Z,51487.78
2026-05-04T17:00:00Z,49300.57
2026-05-04T18:00:00Z,46352.81
2026-05-04T19:00:00Z,42340.47
2026-05-04T20:00:00Z,40524.54
2026-05-04T21:00:00Z,39639.95
2026-05-04T22:00:00Z,40070.36
2026-05-04T23:00:00Z,41628.79
2026-05-05T00:00:00Z,41378.28
2026-05-05T01:00:00Z,43665.11
2026-05-05T02:00:00Z,45362.13
2026-05-05T03:00:00Z,48266.07
2026-05-05T04:00:00Z,50825.66
2026-05-05T05:00:00Z,55088.82
2026-05-05T06:00:00Z,58568.33
2026-05-05T07:00:00Z,60271.25
2026-05-05T08:00:00Z,63230.18
2026-05-05T09:00:00Z,63709.82
2026-05-05T10:00:00Z,63978.15
2026-05-05T11:00:00Z,63901.46
2026-05-05T12:00:00Z,62684.73
